id,input,output,real_output
nikluge-au-2022-train-000001,보여주면서 왜 엿보냐고 비난 하는것도 웃기지만. 훔쳐 보면서 왜 보여주냐고 하는 사람 역시 우습다..,1,
nikluge-au-2022-train-000002,왜 개인 사생활을 방송으로 보여주고 싶은지 이해도 안가지만 &location&식 프로포즈란 무슨 자로 잰 든 무릎 꿇고 반지 내밀고 나랑 결혼해줄래? 가 전부이다.,1,
nikluge-au-2022-train-000003,이런 쓰레기같은 새끼가 아무렇지 않게 멀쩡히 돌아다닐 생각을 하니까 진짜 너무 소름돋는다.,1,
nikluge-au-2022-train-000004,인간의 탈을 쓰고...,1,
nikluge-au-2022-train-000005,인기글에 짱깨뭐라하니까 댓글로 ㅂㄷㅂㄷ하네요...,1,
nikluge-au-2022-train-000006,계속 페미년 거리면서 왜 그렇게 생각하는지 뭐 그딴거 아무것고 없곸,1,
nikluge-au-2022-train-000007,가게에 한남왔어,1,
nikluge-au-2022-train-000008,그래도 한줘라 하면 줄듯,1,
nikluge-au-2022-train-000009,참고로 몇몇 캐릭터 더 있는데 다 허벌창같아서 소개는 안하겠음,1,
nikluge-au-2022-train-000010,"그냥 ‘나쁜 인간’ 내지는 감정이 좀 상승이 되시면 ‘나쁜 놈’ 정도로 하고, 도저히 참을 수 없으면 ‘나쁜 새끼’로 합시다.",1,
nikluge-au-2022-train-000011,"악한 자리에 선 자들을 대차게 까고 비난하되, ”점마 저거 예수 안 믿는 인간이다.” 이런 말은 좀 자제합시다.",1,
nikluge-au-2022-train-000012,이것은 정말 국민을 개돼지로 인식한다는 소립니다.,1,
nikluge-au-2022-train-000013,진짜 &affiliation& 좀 그만 보고 싶어요...,1,
nikluge-au-2022-train-000014,"&affiliation& 청년당원들은 당의 리더가 저 따위 소리를 하고 있는데, 그냥 멍때리고 있는 건가요?",1,
nikluge-au-2022-train-000015,왜 청년들 일하는 데에 끼어 드는데?,1,
nikluge-au-2022-train-000016,왜 굳이 청년 정책 관련된 일을 하는데?,1,
nikluge-au-2022-train-000017,국민들이 암말 않고 열심히 세금 내니까 정말 별 개 그지 같은 데에 돈쓰고 쳐 자빠졌네...,1,
nikluge-au-2022-train-000018,예를 들어 누가 살해 됐고 용의자가 있는데 용의자가 자기 아니라 하면 진범이 있어야 하잖아?,0,
nikluge-au-2022-train-000019,&name& 일당은 뭐야?,0,
nikluge-au-2022-train-000020,귀신이 먹었어?,0,
nikluge-au-2022-train-000021,근데 아니라고?,0,
nikluge-au-2022-train-000022,충남 공주에 위치한 &affiliation&초등학교 친구들을 만나기 위해 고속버스터미널에 왔습니다.,0,
nikluge-au-2022-train-000023,전동휠체어 없이 다니려니 새가 빠지네요...,0,
nikluge-au-2022-train-000024,역시 지구는 제가 살기에 너무 커요.,0,
nikluge-au-2022-train-000025,마지막 열차는 여의도행...,0,
nikluge-au-2022-train-000026,``뚫흙뚫흙뜱 뚫흙뚫흙뜱 뚫흙뚫흙뜱 따다다~`` 하면서 질주해야겠군...,0,
nikluge-au-2022-train-000027,그러니까 개독교 소리 듣지..,1,
nikluge-au-2022-train-000028,"듣고, 다윗처럼 팥죽으로 속여서 권력을 따낼 것이란 의미인가 싶었습니다...",0,
nikluge-au-2022-train-000029,매국노 &name& 국가훈장을 반대 합니다!,1,
nikluge-au-2022-train-000030,악마의 다른 얼굴입니다.,1,
nikluge-au-2022-train-000031,이 공약이 &name&가 자신의 빨갱이 경력을 감추기 위해 내걸었던 구호라네요.,1,
nikluge-au-2022-train-000032,왕권시대에도 볼수 없던 독재를 &name& 정권은 거침 없이 자행 !,1,
nikluge-au-2022-train-000033,&name&라고 비난했었기에 A4 펴들고 읽나?,1,
nikluge-au-2022-train-000034,외교 경제 국방등 망쳤으면 조용히 &location&대통령의 간첩처분 받아라!,1,
nikluge-au-2022-train-000035,왕권시대에도 볼수 없던 독재를 &name&정권은 거침 없이 자행 !,1,
nikluge-au-2022-train-000036,수첩공주라고 비난했었기에 A4 펴들고 읽나?,1,
nikluge-au-2022-train-000037,외교 경제 국방등 망쳤으면 조용히 &location&대통령의 간첩처분 받아라!,1,
nikluge-au-2022-train-000038,언론인들이 이렇게나 바보 천치들인 줄은 미쳐 몰랐다.,1,
nikluge-au-2022-train-000039,언론인들이 이렇게나 바보 천치들인 줄은 미쳐 몰랐다.,1,
nikluge-au-2022-train-000040,&name&같은 치매환자가 감히 국론을 말하다니,1,
nikluge-au-2022-train-000041,국민은 이런 자를 처단해야 살 수 있음이라,1,
nikluge-au-2022-train-000042,정부 엉덩이나 핥는 소리 지껄인 한기총 조광직도 소리소문없이 행방불명되어 같이 죽어라.,1,
nikluge-au-2022-train-000043,어디 할 짓이 없어 빨갱이의 走狗노릇을 해?,1,
nikluge-au-2022-train-000044,쓰레기는 쓸려 내려 가게 마련!,1,
nikluge-au-2022-train-000045,&affiliation& 지지자들의 지적수준을 적나라하게 보여 주는군!,1,
nikluge-au-2022-train-000046,이거 &name&를 쪽쪽 빠는 쪽빨이들 아녀?,1,
nikluge-au-2022-train-000047,자살당 지지자들은 &affiliation& 비판하기에 앞서 자기들 당에 &name&탄핵한 놈들은 비판하지 않는지 난 그것이 알고싶다?,1,
nikluge-au-2022-train-000048,&affiliation&것들이 나가 개죽음을 당해야하는 이유,1,
nikluge-au-2022-train-000049,그 앞잽이 &name&부터 먼저 뒈지던가!,1,
